Company,Office_address,City,State,Zip,Country,Fax
Global Steel Solutions L.L.C.,2212 Kiev Court,West Bloomfield,MI,48524,United States,
Global Steel Solutions L.L.C.,40331 Prestwick Ct.,Northville Twp.,MI,48167,United States,
PanMeridian Tubular,"14550 Torrey Chase Blvd, Suite 345",Houston,TX,77014,United States,281-873-7873
PanMeridian Tubular,"450 E 17th Ave, Suite 220",Denver,CO,80203,United States,303-301-9708
SeAH USA,"14550 Torrey Chase Blvd, Suite 345",Houston,TX,77014,United States,281-873-7873
SeAH USA,"2100 Main St., Suite 100",Irvine,CA,92614,United States,949-655-8030
State Pipe,12745 116th Ave.,Surrey,B.C. ,V3V 7H9,Canada,604-582-0520
State Pipe,183 S. Cedar Ave.,Rialto,CA,92376,United States,909-562-0145
State Pipe,24785 Clawiter Road,Hayward,CA,94545,United States,510-783-7480
State Pipe,3508 N.E. 68th Street,Vancouver,WA,98661,United States,360-750-1364
State Pipe,13341 W. Indian School Rd #C-305,Litchfield Park,AZ,85340,United States,623-872-1213 
State Pipe,183 S. Cedar Ave.,Rialto,CA,92376,United States,909-562-0145
Westcoast Pipe,2180 N. Locust Ave.,Rialto,CA,92377,United States,909-356-4229
